time,emotion
2025-01-26T01:00:54.209046,Tristeza
2025-01-26T01:00:54.408630,Tristeza
2025-01-26T01:00:54.596424,Neutral
2025-01-26T01:00:54.801660,Neutral
2025-01-26T01:00:54.998033,Neutral
2025-01-26T01:00:55.195182,Neutral
2025-01-26T01:00:55.398334,Neutral
2025-01-26T01:00:55.592970,Felicidad
2025-01-26T01:00:55.798574,Neutral
2025-01-26T01:00:55.999884,Neutral
2025-01-26T01:00:56.199008,Neutral
2025-01-26T01:00:56.401841,Neutral
2025-01-26T01:00:56.596559,Neutral
2025-01-26T01:00:56.799860,Neutral
2025-01-26T01:00:57.004596,Miedo
2025-01-26T01:00:57.195371,Neutral
2025-01-26T01:00:57.395029,Neutral
2025-01-26T01:00:57.595210,Neutral
2025-01-26T01:00:57.800363,Felicidad
2025-01-26T01:00:58.006478,Neutral
2025-01-26T01:00:58.209838,Neutral
2025-01-26T01:00:58.398658,Felicidad
2025-01-26T01:00:58.605255,Neutral
2025-01-26T01:00:58.809433,Miedo
2025-01-26T01:00:59.001967,Tristeza
2025-01-26T01:00:59.201015,Neutral
2025-01-26T01:00:59.396211,Tristeza
2025-01-26T01:00:59.589565,Miedo
2025-01-26T01:01:00.007415,Neutral
2025-01-26T01:01:00.209863,Neutral
2025-01-26T01:01:00.396445,Miedo
2025-01-26T01:01:00.604859,Neutral
2025-01-26T01:01:00.791765,Neutral
2025-01-26T01:01:01.003067,Neutral
2025-01-26T01:01:01.198321,Neutral
2025-01-26T01:01:01.408334,Neutral
2025-01-26T01:01:01.601630,Neutral
2025-01-26T01:01:01.796399,Tristeza
2025-01-26T01:01:01.995410,Felicidad
2025-01-26T01:01:02.188463,Neutral
2025-01-26T01:01:02.365277,Desconocida
2025-01-26T01:01:02.567058,Desconocida
2025-01-26T01:01:02.997091,Neutral
2025-01-26T01:01:03.208718,Neutral
2025-01-26T01:01:03.394773,Neutral
2025-01-26T01:01:03.602925,Neutral
2025-01-26T01:01:03.804264,Tristeza
2025-01-26T01:01:04.001029,Tristeza
2025-01-26T01:01:04.203105,Tristeza
2025-01-26T01:01:04.396744,Tristeza
2025-01-26T01:01:04.597475,Tristeza
2025-01-26T01:01:04.796809,Tristeza
2025-01-26T01:01:04.994628,Tristeza
2025-01-26T01:01:05.195229,Neutral
2025-01-26T01:01:05.398544,Neutral
2025-01-26T01:01:05.593677,Tristeza
2025-01-26T01:01:05.792781,Neutral
2025-01-26T01:01:05.998074,Neutral
2025-01-26T01:01:06.172568,Desconocida
2025-01-26T01:01:06.394766,Neutral
2025-01-26T01:01:06.565845,Desconocida
2025-01-26T01:01:06.778886,Desconocida
2025-01-26T01:01:06.976636,Desconocida
2025-01-26T01:01:07.176063,Desconocida
2025-01-26T01:01:07.374814,Desconocida
2025-01-26T01:01:07.794857,Tristeza
2025-01-26T01:01:08.001295,Tristeza
2025-01-26T01:01:08.191425,Neutral
2025-01-26T01:01:08.393639,Neutral
2025-01-26T01:01:08.591928,Neutral
2025-01-26T01:01:08.808426,Neutral
2025-01-26T01:01:08.999492,Neutral
2025-01-26T01:01:09.203088,Neutral
2025-01-26T01:01:09.408626,Felicidad
2025-01-26T01:01:09.604610,Neutral
2025-01-26T01:01:09.807887,Neutral
2025-01-26T01:01:10.000827,Neutral
2025-01-26T01:01:10.211712,Neutral
2025-01-26T01:01:10.407574,Neutral
2025-01-26T01:01:10.608749,Neutral
2025-01-26T01:01:10.801635,Neutral
2025-01-26T01:01:10.996465,Neutral
