time,emotion
2025-01-26T00:31:46.068529,Felicidad
2025-01-26T00:31:46.264710,Felicidad
2025-01-26T00:31:46.461103,Miedo
2025-01-26T00:31:46.868067,Neutral
2025-01-26T00:31:47.067273,Miedo
2025-01-26T00:31:47.269564,Neutral
2025-01-26T00:31:47.478136,Neutral
2025-01-26T00:31:47.675274,Neutral
2025-01-26T00:31:47.874575,Neutral
2025-01-26T00:31:48.069760,Felicidad
2025-01-26T00:31:48.270952,Felicidad
2025-01-26T00:31:48.465159,Felicidad
2025-01-26T00:31:48.657320,Felicidad
2025-01-26T00:31:48.867920,Felicidad
2025-01-26T00:31:49.067442,Felicidad
2025-01-26T00:31:49.266426,Felicidad
2025-01-26T00:31:49.467607,Felicidad
2025-01-26T00:31:49.666402,Felicidad
2025-01-26T00:31:49.867859,Neutral
2025-01-26T00:31:50.068130,Neutral
2025-01-26T00:31:50.265254,Miedo
2025-01-26T00:31:50.465100,Miedo
2025-01-26T00:31:50.662403,Tristeza
