time,emotion
2025-01-26T00:32:18.150970,Tristeza
2025-01-26T00:32:18.353237,Tristeza
2025-01-26T00:32:18.551650,Neutral
2025-01-26T00:32:18.744953,Neutral
2025-01-26T00:32:18.946676,Felicidad
2025-01-26T00:32:19.142744,Felicidad
2025-01-26T00:32:19.345415,Felicidad
2025-01-26T00:32:19.530510,Felicidad
2025-01-26T00:32:19.737915,Felicidad
2025-01-26T00:32:19.934180,Felicidad
2025-01-26T00:32:20.133983,Felicidad
2025-01-26T00:32:20.340655,Felicidad
2025-01-26T00:32:20.532147,Felicidad
2025-01-26T00:32:20.738192,Tristeza
2025-01-26T00:32:20.939360,Tristeza
2025-01-26T00:32:21.133092,Miedo
2025-01-26T00:32:21.338469,Neutral
2025-01-26T00:32:21.531388,Miedo
2025-01-26T00:32:21.731542,Miedo
2025-01-26T00:32:21.939131,Tristeza
2025-01-26T00:32:22.133273,Miedo
2025-01-26T00:32:22.341573,Neutral
2025-01-26T00:32:22.534676,Miedo
2025-01-26T00:32:22.744873,Neutral
2025-01-26T00:32:22.937423,Neutral
2025-01-26T00:32:23.142562,Neutral
2025-01-26T00:32:23.354715,Neutral
2025-01-26T00:32:23.746230,Neutral
2025-01-26T00:32:23.940786,Neutral
2025-01-26T00:32:24.141396,Neutral
2025-01-26T00:32:24.332137,Neutral
2025-01-26T00:32:24.541569,Neutral
2025-01-26T00:32:24.739535,Neutral
2025-01-26T00:32:25.339235,Miedo
2025-01-26T00:32:25.539373,Miedo
2025-01-26T00:32:25.741833,Neutral
2025-01-26T00:32:25.950562,Felicidad
2025-01-26T00:32:26.140805,Neutral
2025-01-26T00:32:26.340326,Neutral
2025-01-26T00:32:26.542129,Neutral
2025-01-26T00:32:26.743899,Miedo
2025-01-26T00:32:26.943446,Neutral
2025-01-26T00:32:27.140281,Neutral
2025-01-26T00:32:27.341441,Neutral
2025-01-26T00:32:27.539718,Neutral
2025-01-26T00:32:27.740862,Miedo
2025-01-26T00:32:27.940093,Neutral
2025-01-26T00:32:28.137600,Neutral
2025-01-26T00:32:28.335962,Neutral
2025-01-26T00:32:28.532951,Neutral
2025-01-26T00:32:28.940180,Miedo
2025-01-26T00:32:29.137339,Neutral
