time,emotion
2025-01-26T00:53:55.737780,Tristeza
2025-01-26T00:53:55.800386,Neutral
2025-01-26T00:53:55.928717,Tristeza
2025-01-26T00:53:55.985575,Miedo
2025-01-26T00:53:56.125000,Tristeza
2025-01-26T00:53:56.187518,Tristeza
2025-01-26T00:53:56.331112,Tristeza
2025-01-26T00:53:56.398376,Tristeza
2025-01-26T00:53:56.524081,Tristeza
2025-01-26T00:53:56.582824,Tristeza
2025-01-26T00:53:56.729503,Tristeza
2025-01-26T00:53:56.786196,Tristeza
2025-01-26T00:53:56.931990,Miedo
2025-01-26T00:53:56.987399,Miedo
2025-01-26T00:53:57.122056,Miedo
2025-01-26T00:53:57.174665,Miedo
2025-01-26T00:53:57.331291,Miedo
2025-01-26T00:53:57.387330,Miedo
2025-01-26T00:53:57.530027,Neutral
2025-01-26T00:53:57.583123,Neutral
2025-01-26T00:53:57.737297,Neutral
2025-01-26T00:53:57.803617,Neutral
2025-01-26T00:53:57.935352,Neutral
2025-01-26T00:53:58.002245,Neutral
2025-01-26T00:53:58.137452,Felicidad
2025-01-26T00:53:58.205355,Felicidad
2025-01-26T00:53:58.336454,Neutral
2025-01-26T00:53:58.406048,Neutral
2025-01-26T00:53:58.540608,Neutral
2025-01-26T00:53:58.612782,Neutral
2025-01-26T00:53:58.729826,Neutral
2025-01-26T00:53:58.797796,Neutral
2025-01-26T00:53:58.931031,Felicidad
2025-01-26T00:53:58.996766,Felicidad
2025-01-26T00:53:59.142255,Felicidad
2025-01-26T00:53:59.215866,Felicidad
2025-01-26T00:53:59.337468,Neutral
2025-01-26T00:53:59.406341,Neutral
2025-01-26T00:53:59.530144,Felicidad
2025-01-26T00:53:59.593822,Felicidad
2025-01-26T00:53:59.721752,Neutral
2025-01-26T00:53:59.777493,Neutral
2025-01-26T00:53:59.931801,Tristeza
2025-01-26T00:53:59.998024,Tristeza
2025-01-26T00:54:00.123436,Neutral
2025-01-26T00:54:00.180800,Neutral
2025-01-26T00:54:00.332533,Miedo
2025-01-26T00:54:00.403790,Miedo
2025-01-26T00:54:00.534843,Miedo
2025-01-26T00:54:00.600242,Miedo
2025-01-26T00:54:00.738491,Miedo
2025-01-26T00:54:00.808658,Miedo
2025-01-26T00:54:00.934560,Felicidad
2025-01-26T00:54:01.004807,Felicidad
2025-01-26T00:54:01.128194,Felicidad
2025-01-26T00:54:01.193392,Felicidad
2025-01-26T00:54:01.329933,Felicidad
2025-01-26T00:54:01.396788,Felicidad
2025-01-26T00:54:01.529705,Felicidad
2025-01-26T00:54:01.598260,Felicidad
2025-01-26T00:54:01.731569,Neutral
2025-01-26T00:54:01.793917,Neutral
2025-01-26T00:54:01.942385,Miedo
2025-01-26T00:54:02.014013,Miedo
2025-01-26T00:54:02.132502,Neutral
2025-01-26T00:54:02.199649,Neutral
2025-01-26T00:54:02.332788,Neutral
2025-01-26T00:54:02.398432,Neutral
2025-01-26T00:54:02.522627,Neutral
2025-01-26T00:54:02.575461,Neutral
2025-01-26T00:54:02.729165,Miedo
2025-01-26T00:54:02.789486,Miedo
2025-01-26T00:54:02.950074,Miedo
2025-01-26T00:54:03.024131,Miedo
2025-01-26T00:54:03.142464,Neutral
2025-01-26T00:54:03.220912,Neutral
2025-01-26T00:54:03.338357,Miedo
2025-01-26T00:54:03.405365,Miedo
2025-01-26T00:54:03.527664,Miedo
2025-01-26T00:54:03.586083,Miedo
2025-01-26T00:54:03.742948,Felicidad
2025-01-26T00:54:03.816004,Felicidad
2025-01-26T00:54:03.931737,Miedo
2025-01-26T00:54:03.992071,Miedo
2025-01-26T00:54:04.125243,Miedo
2025-01-26T00:54:04.187944,Miedo
2025-01-26T00:54:04.343924,Miedo
2025-01-26T00:54:04.419834,Miedo
2025-01-26T00:54:04.539671,Miedo
2025-01-26T00:54:04.618734,Miedo
2025-01-26T00:54:04.746260,Miedo
2025-01-26T00:54:04.820453,Miedo
2025-01-26T00:54:04.937104,Miedo
2025-01-26T00:54:05.006743,Miedo
2025-01-26T00:54:05.138030,Miedo
2025-01-26T00:54:05.213613,Miedo
2025-01-26T00:54:05.340881,Miedo
2025-01-26T00:54:05.408119,Miedo
2025-01-26T00:54:05.535218,Miedo
2025-01-26T00:54:05.604750,Miedo
2025-01-26T00:54:05.743222,Neutral
2025-01-26T00:54:05.820235,Neutral
2025-01-26T00:54:05.937434,Miedo
2025-01-26T00:54:06.007544,Miedo
2025-01-26T00:54:06.135469,Miedo
2025-01-26T00:54:06.202579,Miedo
2025-01-26T00:54:06.338092,Miedo
2025-01-26T00:54:06.403713,Miedo
