time,emotion
2025-01-26T01:03:47.395504,Neutral
2025-01-26T01:03:47.464403,Neutral
2025-01-26T01:03:47.598958,Neutral
2025-01-26T01:03:47.674591,Neutral
2025-01-26T01:03:47.786903,Neutral
2025-01-26T01:03:47.863262,Felicidad
2025-01-26T01:03:47.975326,Tristeza
2025-01-26T01:03:48.065592,Tristeza
2025-01-26T01:03:48.173563,Felicidad
2025-01-26T01:03:48.258802,Felicidad
2025-01-26T01:03:48.377717,Felicidad
2025-01-26T01:03:48.460806,Felicidad
2025-01-26T01:03:48.576037,Neutral
2025-01-26T01:03:48.662382,Felicidad
2025-01-26T01:03:48.777758,Felicidad
2025-01-26T01:03:48.858104,Felicidad
2025-01-26T01:03:48.987785,Neutral
2025-01-26T01:03:49.073846,Neutral
2025-01-26T01:03:49.184629,Neutral
2025-01-26T01:03:49.264866,Neutral
2025-01-26T01:03:49.389801,Neutral
2025-01-26T01:03:49.476504,Neutral
