time,emotion
2025-01-26T00:35:22.961207,Neutral
2025-01-26T00:35:23.159878,Neutral
2025-01-26T00:35:23.361433,Neutral
2025-01-26T00:35:23.562215,Felicidad
2025-01-26T00:35:23.758239,Felicidad
2025-01-26T00:35:23.951686,Felicidad
2025-01-26T00:35:24.155144,Tristeza
2025-01-26T00:35:24.347955,Neutral
2025-01-26T00:35:24.560585,Neutral
2025-01-26T00:35:24.756375,Neutral
2025-01-26T00:35:24.947355,Neutral
2025-01-26T00:35:25.157788,Neutral
2025-01-26T00:35:25.367255,Neutral
2025-01-26T00:35:25.551434,Neutral
2025-01-26T00:35:25.733866,Desconocida
2025-01-26T00:35:25.955758,Neutral
2025-01-26T00:35:26.161192,Neutral
2025-01-26T00:35:26.350599,Miedo
2025-01-26T00:35:26.557418,Tristeza
2025-01-26T00:35:26.755582,Tristeza
2025-01-26T00:35:26.956271,Miedo
2025-01-26T00:35:27.155566,Miedo
2025-01-26T00:35:27.355408,Miedo
2025-01-26T00:35:27.555138,Miedo
2025-01-26T00:35:27.758165,Miedo
2025-01-26T00:35:27.956322,Tristeza
2025-01-26T00:35:28.158776,Neutral
2025-01-26T00:35:28.356786,Neutral
2025-01-26T00:35:28.561710,Neutral
2025-01-26T00:35:28.760385,Neutral
2025-01-26T00:35:28.967175,Neutral
2025-01-26T00:35:29.147812,Neutral
2025-01-26T00:35:29.350701,Neutral
2025-01-26T00:35:29.546892,Neutral
2025-01-26T00:35:29.745501,Neutral
2025-01-26T00:35:29.948253,Neutral
2025-01-26T00:35:30.350605,Neutral
2025-01-26T00:35:30.547519,Neutral
2025-01-26T00:35:30.748702,Neutral
2025-01-26T00:35:31.151337,Neutral
2025-01-26T00:35:31.346688,Neutral
2025-01-26T00:35:31.552995,Neutral
2025-01-26T00:35:31.755208,Neutral
2025-01-26T00:35:31.952005,Neutral
2025-01-26T00:35:32.130556,Desconocida
2025-01-26T00:35:33.730138,Desconocida
2025-01-26T00:35:33.929396,Desconocida
2025-01-26T00:35:35.546757,Neutral
2025-01-26T00:35:35.760350,Felicidad
2025-01-26T00:35:35.957396,Felicidad
2025-01-26T00:35:36.156451,Felicidad
2025-01-26T00:35:36.357561,Felicidad
2025-01-26T00:35:36.565805,Felicidad
2025-01-26T00:35:36.753222,Felicidad
2025-01-26T00:35:36.956784,Felicidad
2025-01-26T00:35:37.133578,Desconocida
2025-01-26T00:35:37.354829,Neutral
2025-01-26T00:35:37.556647,Neutral
2025-01-26T00:35:37.762898,Neutral
2025-01-26T00:35:37.964290,Neutral
2025-01-26T00:35:38.357373,Tristeza
