time,emotion
2025-01-26T00:32:43.250045,Miedo
2025-01-26T00:32:43.451720,Miedo
2025-01-26T00:32:43.535719,Miedo
2025-01-26T00:32:43.652402,Miedo
2025-01-26T00:32:43.732491,Miedo
2025-01-26T00:32:43.853624,Miedo
2025-01-26T00:32:43.941053,Felicidad
2025-01-26T00:32:44.062307,Miedo
2025-01-26T00:32:44.146187,Neutral
2025-01-26T00:32:44.259247,Neutral
2025-01-26T00:32:44.349869,Tristeza
2025-01-26T00:32:44.464777,Neutral
2025-01-26T00:32:44.539590,Neutral
2025-01-26T00:32:44.662721,Neutral
2025-01-26T00:32:44.744730,Neutral
2025-01-26T00:32:44.859725,Neutral
2025-01-26T00:32:45.057693,Neutral
2025-01-26T00:32:45.133857,Neutral
2025-01-26T00:32:45.255776,Neutral
2025-01-26T00:32:45.341375,Tristeza
2025-01-26T00:32:45.457338,Tristeza
2025-01-26T00:32:45.537174,Neutral
2025-01-26T00:32:45.654799,Neutral
2025-01-26T00:32:45.740166,Tristeza
2025-01-26T00:32:45.854112,Neutral
2025-01-26T00:32:45.936433,Neutral
2025-01-26T00:32:46.057695,Neutral
2025-01-26T00:32:46.138601,Tristeza
2025-01-26T00:32:46.253111,Tristeza
2025-01-26T00:32:46.337955,Tristeza
2025-01-26T00:32:46.457120,Tristeza
2025-01-26T00:32:46.533102,Neutral
2025-01-26T00:32:46.652957,Neutral
2025-01-26T00:32:46.737044,Neutral
2025-01-26T00:32:46.851320,Neutral
2025-01-26T00:32:46.931764,Neutral
2025-01-26T00:32:47.049287,Neutral
2025-01-26T00:32:47.131584,Tristeza
2025-01-26T00:32:47.252338,Miedo
2025-01-26T00:32:47.333437,Neutral
2025-01-26T00:32:47.446675,Neutral
2025-01-26T00:32:47.531525,Neutral
2025-01-26T00:32:47.652486,Neutral
2025-01-26T00:32:47.733487,Miedo
2025-01-26T00:32:47.853694,Neutral
2025-01-26T00:32:47.940580,Neutral
2025-01-26T00:32:48.056821,Tristeza
2025-01-26T00:32:48.141346,Tristeza
2025-01-26T00:32:48.255580,Tristeza
2025-01-26T00:32:48.331434,Miedo
2025-01-26T00:32:48.450838,Miedo
2025-01-26T00:32:48.532988,Miedo
2025-01-26T00:32:48.651598,Neutral
2025-01-26T00:32:48.732647,Neutral
2025-01-26T00:32:48.848107,Neutral
2025-01-26T00:32:48.932300,Tristeza
2025-01-26T00:32:49.048831,Tristeza
2025-01-26T00:32:49.138274,Tristeza
2025-01-26T00:32:49.257762,Neutral
2025-01-26T00:32:49.341157,Tristeza
2025-01-26T00:32:49.459719,Neutral
2025-01-26T00:32:49.540654,Neutral
2025-01-26T00:32:49.658537,Tristeza
2025-01-26T00:32:49.732818,Tristeza
2025-01-26T00:32:49.851719,Tristeza
2025-01-26T00:32:49.935391,Miedo
2025-01-26T00:32:50.063245,Tristeza
2025-01-26T00:32:50.142667,Tristeza
2025-01-26T00:32:50.259017,Tristeza
2025-01-26T00:32:50.336523,Tristeza
2025-01-26T00:32:50.453015,Tristeza
2025-01-26T00:32:50.533547,Tristeza
2025-01-26T00:32:50.655300,Tristeza
2025-01-26T00:32:50.745095,Tristeza
2025-01-26T00:32:50.860316,Enojo
2025-01-26T00:32:50.944813,Miedo
2025-01-26T00:32:51.060214,Enojo
2025-01-26T00:32:51.145876,Enojo
2025-01-26T00:32:51.260952,Miedo
2025-01-26T00:32:51.343182,Enojo
2025-01-26T00:32:51.463941,Miedo
2025-01-26T00:32:51.545856,Enojo
2025-01-26T00:32:51.662647,Enojo
2025-01-26T00:32:51.740674,Tristeza
2025-01-26T00:32:51.859485,Tristeza
2025-01-26T00:32:51.944250,Tristeza
2025-01-26T00:32:52.048487,Tristeza
2025-01-26T00:32:52.133750,Miedo
2025-01-26T00:32:52.250341,Miedo
2025-01-26T00:32:52.333533,Miedo
2025-01-26T00:32:52.459902,Neutral
2025-01-26T00:32:52.535330,Miedo
2025-01-26T00:32:52.650324,Miedo
2025-01-26T00:32:52.733696,Miedo
2025-01-26T00:32:52.851857,Miedo
2025-01-26T00:32:52.937639,Miedo
2025-01-26T00:32:53.050616,Miedo
2025-01-26T00:32:53.135170,Miedo
2025-01-26T00:32:53.257395,Tristeza
2025-01-26T00:32:53.334297,Miedo
2025-01-26T00:32:53.450451,Tristeza
2025-01-26T00:32:53.531891,Tristeza
2025-01-26T00:32:53.650709,Miedo
2025-01-26T00:32:53.732244,Tristeza
2025-01-26T00:32:53.859726,Neutral
2025-01-26T00:32:53.933905,Miedo
2025-01-26T00:32:54.050065,Miedo
2025-01-26T00:32:54.133567,Tristeza
2025-01-26T00:32:54.252443,Tristeza
2025-01-26T00:32:54.332221,Miedo
2025-01-26T00:32:54.451752,Tristeza
2025-01-26T00:32:54.531588,Tristeza
2025-01-26T00:32:54.653313,Miedo
2025-01-26T00:32:54.731589,Tristeza
2025-01-26T00:32:54.850603,Miedo
2025-01-26T00:32:54.931873,Miedo
2025-01-26T00:32:55.051233,Miedo
2025-01-26T00:32:55.141646,Neutral
2025-01-26T00:32:55.251233,Miedo
2025-01-26T00:32:55.336296,Miedo
2025-01-26T00:32:55.449779,Miedo
2025-01-26T00:32:55.536912,Miedo
2025-01-26T00:32:55.652475,Miedo
2025-01-26T00:32:55.742406,Miedo
2025-01-26T00:32:55.862341,Neutral
2025-01-26T00:32:55.936964,Miedo
2025-01-26T00:32:56.061878,Neutral
2025-01-26T00:32:56.139683,Miedo
2025-01-26T00:32:56.261822,Neutral
2025-01-26T00:32:56.349817,Miedo
2025-01-26T00:32:56.462835,Neutral
2025-01-26T00:32:56.539442,Miedo
2025-01-26T00:32:56.664472,Miedo
2025-01-26T00:32:56.741265,Miedo
2025-01-26T00:32:56.850624,Miedo
2025-01-26T00:32:56.934239,Miedo
2025-01-26T00:32:57.051342,Miedo
2025-01-26T00:32:57.136320,Miedo
2025-01-26T00:32:57.252943,Miedo
2025-01-26T00:32:57.342585,Miedo
2025-01-26T00:32:57.459378,Miedo
2025-01-26T00:32:57.541287,Neutral
2025-01-26T00:32:57.657349,Tristeza
2025-01-26T00:32:57.738925,Tristeza
2025-01-26T00:32:57.848767,Tristeza
2025-01-26T00:32:57.937319,Tristeza
2025-01-26T00:32:58.057673,Felicidad
2025-01-26T00:32:58.138723,Neutral
2025-01-26T00:32:58.257362,Tristeza
2025-01-26T00:32:58.334384,Miedo
2025-01-26T00:32:58.457703,Miedo
2025-01-26T00:32:58.541863,Miedo
2025-01-26T00:32:58.662071,Miedo
