time,emotion
2025-01-26T00:23:42.348309,Felicidad
2025-01-26T00:23:42.530629,Miedo
2025-01-26T00:23:42.735188,Miedo
2025-01-26T00:23:42.933623,Miedo
2025-01-26T00:23:43.136901,Miedo
2025-01-26T00:23:43.342851,Miedo
2025-01-26T00:23:43.533492,Miedo
2025-01-26T00:23:43.732159,Miedo
2025-01-26T00:23:43.932959,Neutral
2025-01-26T00:23:44.151199,Neutral
2025-01-26T00:23:44.540984,Neutral
2025-01-26T00:23:44.743887,Neutral
2025-01-26T00:23:44.945469,Neutral
2025-01-26T00:23:45.343731,Felicidad
2025-01-26T00:23:45.543278,Neutral
2025-01-26T00:23:45.737794,Felicidad
2025-01-26T00:23:45.945661,Felicidad
2025-01-26T00:23:46.140164,Neutral
2025-01-26T00:23:46.345100,Miedo
2025-01-26T00:23:46.541829,Neutral
2025-01-26T00:23:46.742763,Miedo
2025-01-26T00:23:46.943391,Miedo
2025-01-26T00:23:47.133086,Miedo
2025-01-26T00:23:47.333696,Miedo
2025-01-26T00:23:47.931576,Miedo
2025-01-26T00:23:48.128132,Miedo
2025-01-26T00:23:48.328240,Miedo
2025-01-26T00:23:48.529501,Miedo
2025-01-26T00:23:48.733059,Miedo
2025-01-26T00:23:48.932665,Miedo
2025-01-26T00:23:49.132118,Miedo
2025-01-26T00:23:49.332521,Miedo
2025-01-26T00:23:49.533418,Felicidad
2025-01-26T00:23:49.733844,Miedo
2025-01-26T00:23:50.135229,Miedo
2025-01-26T00:23:50.332867,Felicidad
2025-01-26T00:23:50.535828,Miedo
2025-01-26T00:23:50.731202,Miedo
2025-01-26T00:23:51.135202,Neutral
2025-01-26T00:23:51.332879,Neutral
2025-01-26T00:23:51.534265,Neutral
2025-01-26T00:23:51.729171,Miedo
2025-01-26T00:23:51.935753,Felicidad
2025-01-26T00:23:52.131108,Felicidad
2025-01-26T00:23:52.341008,Felicidad
2025-01-26T00:23:52.533428,Felicidad
