time,emotion
2025-01-26T00:24:05.133368,Tristeza
2025-01-26T00:24:05.206697,Tristeza
2025-01-26T00:24:05.331620,Neutral
2025-01-26T00:24:05.405451,Tristeza
2025-01-26T00:24:05.532212,Neutral
2025-01-26T00:24:05.604660,Neutral
2025-01-26T00:24:05.734092,Tristeza
2025-01-26T00:24:05.806590,Tristeza
2025-01-26T00:24:05.934488,Tristeza
2025-01-26T00:24:06.004730,Tristeza
2025-01-26T00:24:06.132656,Tristeza
2025-01-26T00:24:06.208606,Miedo
2025-01-26T00:24:06.334870,Miedo
2025-01-26T00:24:06.403243,Miedo
2025-01-26T00:24:06.534741,Tristeza
2025-01-26T00:24:06.614135,Miedo
2025-01-26T00:24:06.733579,Miedo
2025-01-26T00:24:06.803855,Tristeza
2025-01-26T00:24:06.934786,Miedo
2025-01-26T00:24:07.004007,Miedo
2025-01-26T00:24:07.204453,Miedo
2025-01-26T00:24:07.336773,Miedo
2025-01-26T00:24:07.406288,Miedo
2025-01-26T00:24:07.533165,Miedo
2025-01-26T00:24:07.606450,Miedo
2025-01-26T00:24:07.732586,Miedo
2025-01-26T00:24:07.804307,Miedo
2025-01-26T00:24:07.929808,Miedo
2025-01-26T00:24:08.006449,Miedo
2025-01-26T00:24:08.132852,Miedo
2025-01-26T00:24:08.334328,Miedo
2025-01-26T00:24:08.403696,Miedo
2025-01-26T00:24:08.536153,Miedo
2025-01-26T00:24:08.604726,Miedo
2025-01-26T00:24:08.733271,Miedo
2025-01-26T00:24:08.806923,Miedo
2025-01-26T00:24:09.003650,Felicidad
2025-01-26T00:24:09.136302,Miedo
2025-01-26T00:24:09.206415,Miedo
2025-01-26T00:24:09.332663,Miedo
2025-01-26T00:24:09.403424,Miedo
2025-01-26T00:24:09.534992,Miedo
2025-01-26T00:24:09.603165,Miedo
2025-01-26T00:24:09.942355,Neutral
2025-01-26T00:24:10.009646,Neutral
2025-01-26T00:24:10.141105,Neutral
2025-01-26T00:24:10.202900,Neutral
2025-01-26T00:24:10.339011,Neutral
2025-01-26T00:24:10.410473,Neutral
2025-01-26T00:24:10.531075,Neutral
2025-01-26T00:24:10.601807,Neutral
2025-01-26T00:24:10.732142,Neutral
2025-01-26T00:24:10.804641,Neutral
2025-01-26T00:24:10.933675,Neutral
2025-01-26T00:24:11.007082,Neutral
2025-01-26T00:24:11.140088,Neutral
2025-01-26T00:24:11.210988,Neutral
2025-01-26T00:24:11.340322,Neutral
2025-01-26T00:24:11.419343,Neutral
2025-01-26T00:24:11.531635,Neutral
2025-01-26T00:24:11.615037,Neutral
2025-01-26T00:24:11.742004,Neutral
2025-01-26T00:24:11.816363,Neutral
2025-01-26T00:24:11.933563,Neutral
2025-01-26T00:24:12.002158,Neutral
2025-01-26T00:24:12.140686,Neutral
2025-01-26T00:24:12.202011,Neutral
2025-01-26T00:24:12.339264,Neutral
2025-01-26T00:24:12.404727,Neutral
2025-01-26T00:24:12.539831,Neutral
2025-01-26T00:24:12.614317,Neutral
2025-01-26T00:24:12.733062,Neutral
2025-01-26T00:24:12.810917,Neutral
2025-01-26T00:24:12.932017,Neutral
2025-01-26T00:24:13.003738,Neutral
2025-01-26T00:24:13.133354,Neutral
2025-01-26T00:24:13.204960,Neutral
2025-01-26T00:24:13.339853,Neutral
2025-01-26T00:24:13.410733,Neutral
2025-01-26T00:24:13.539401,Neutral
2025-01-26T00:24:13.603814,Neutral
2025-01-26T00:24:13.731845,Neutral
2025-01-26T00:24:13.800911,Neutral
2025-01-26T00:24:13.933446,Neutral
2025-01-26T00:24:14.135073,Neutral
2025-01-26T00:24:14.203219,Neutral
2025-01-26T00:24:14.332838,Neutral
2025-01-26T00:24:14.403670,Neutral
2025-01-26T00:24:14.531578,Neutral
2025-01-26T00:24:14.730965,Neutral
2025-01-26T00:24:14.801664,Neutral
2025-01-26T00:24:14.927096,Neutral
2025-01-26T00:24:15.002477,Neutral
2025-01-26T00:24:15.204696,Neutral
2025-01-26T00:24:15.332714,Neutral
2025-01-26T00:24:15.402421,Neutral
2025-01-26T00:24:15.525801,Miedo
2025-01-26T00:24:15.602764,Miedo
2025-01-26T00:24:15.742685,Neutral
2025-01-26T00:24:15.800594,Neutral
2025-01-26T00:24:15.934040,Neutral
2025-01-26T00:24:16.001718,Neutral
2025-01-26T00:24:16.137693,Neutral
2025-01-26T00:24:16.214110,Neutral
2025-01-26T00:24:16.336275,Tristeza
2025-01-26T00:24:16.406382,Neutral
2025-01-26T00:24:16.605622,Neutral
2025-01-26T00:24:16.740091,Neutral
2025-01-26T00:24:16.802632,Neutral
2025-01-26T00:24:16.931153,Neutral
2025-01-26T00:24:17.203056,Neutral
2025-01-26T00:24:17.340693,Neutral
2025-01-26T00:24:17.412336,Neutral
2025-01-26T00:24:17.620194,Neutral
2025-01-26T00:24:17.733001,Neutral
2025-01-26T00:24:17.806031,Neutral
2025-01-26T00:24:17.933318,Neutral
2025-01-26T00:24:18.009147,Neutral
2025-01-26T00:24:18.142059,Neutral
2025-01-26T00:24:18.208474,Neutral
2025-01-26T00:24:18.330094,Neutral
2025-01-26T00:24:18.404402,Neutral
