time,emotion
2025-01-26T00:23:02.124166,Tristeza
2025-01-26T00:23:02.249386,Tristeza
2025-01-26T00:23:02.327659,Tristeza
2025-01-26T00:23:02.442561,Neutral
2025-01-26T00:23:02.524180,Tristeza
2025-01-26T00:23:02.645585,Neutral
2025-01-26T00:23:02.724684,Neutral
2025-01-26T00:23:02.843246,Neutral
2025-01-26T00:23:02.924979,Neutral
2025-01-26T00:23:03.045292,Neutral
2025-01-26T00:23:03.240662,Tristeza
2025-01-26T00:23:03.322353,Miedo
2025-01-26T00:23:03.442340,Neutral
2025-01-26T00:23:03.521332,Neutral
2025-01-26T00:23:03.639510,Neutral
2025-01-26T00:23:03.725757,Neutral
2025-01-26T00:23:03.932187,Neutral
2025-01-26T00:23:04.049927,Neutral
2025-01-26T00:23:04.131121,Neutral
2025-01-26T00:23:04.251206,Neutral
2025-01-26T00:23:04.323347,Neutral
2025-01-26T00:23:04.445776,Neutral
2025-01-26T00:23:04.528899,Neutral
2025-01-26T00:23:04.646890,Neutral
2025-01-26T00:23:04.727010,Neutral
2025-01-26T00:23:04.836974,Neutral
2025-01-26T00:23:04.928628,Neutral
2025-01-26T00:23:05.044533,Neutral
2025-01-26T00:23:05.128004,Neutral
2025-01-26T00:23:05.237649,Neutral
2025-01-26T00:23:05.330697,Neutral
2025-01-26T00:23:05.446133,Neutral
2025-01-26T00:23:05.519137,Neutral
2025-01-26T00:23:05.650232,Neutral
2025-01-26T00:23:05.836167,Neutral
2025-01-26T00:23:05.922039,Neutral
2025-01-26T00:23:06.039528,Neutral
2025-01-26T00:23:06.119133,Neutral
2025-01-26T00:23:06.238806,Neutral
2025-01-26T00:23:06.322977,Tristeza
2025-01-26T00:23:06.443232,Neutral
2025-01-26T00:23:06.523085,Neutral
2025-01-26T00:23:06.641191,Neutral
2025-01-26T00:23:06.723265,Neutral
2025-01-26T00:23:06.853341,Tristeza
2025-01-26T00:23:06.924909,Tristeza
2025-01-26T00:23:07.040457,Tristeza
2025-01-26T00:23:07.120463,Neutral
2025-01-26T00:23:07.239901,Neutral
2025-01-26T00:23:07.323722,Neutral
2025-01-26T00:23:07.442702,Neutral
2025-01-26T00:23:07.519876,Neutral
2025-01-26T00:23:07.640141,Neutral
2025-01-26T00:23:07.732288,Neutral
2025-01-26T00:23:07.844633,Neutral
2025-01-26T00:23:07.925640,Neutral
2025-01-26T00:23:08.042185,Neutral
2025-01-26T00:23:08.123032,Neutral
2025-01-26T00:23:08.238703,Neutral
2025-01-26T00:23:08.322887,Neutral
2025-01-26T00:23:08.440700,Neutral
2025-01-26T00:23:08.522021,Neutral
2025-01-26T00:23:08.640666,Neutral
2025-01-26T00:23:08.732032,Neutral
2025-01-26T00:23:08.837544,Neutral
2025-01-26T00:23:08.927759,Neutral
2025-01-26T00:23:09.041243,Neutral
2025-01-26T00:23:09.122693,Neutral
2025-01-26T00:23:09.239088,Tristeza
2025-01-26T00:23:09.323944,Neutral
2025-01-26T00:23:09.441404,Neutral
2025-01-26T00:23:09.529677,Neutral
2025-01-26T00:23:09.639420,Miedo
2025-01-26T00:23:09.728824,Miedo
2025-01-26T00:23:09.841738,Miedo
2025-01-26T00:23:09.920725,Miedo
2025-01-26T00:23:14.091409,Felicidad
2025-01-26T00:23:14.287913,Miedo
2025-01-26T00:23:14.488388,Felicidad
2025-01-26T00:23:14.685737,Miedo
2025-01-26T00:23:14.888794,Neutral
