time,emotion
2025-01-26T00:29:09.328242,Neutral
2025-01-26T00:29:09.530957,Neutral
2025-01-26T00:29:09.738665,Felicidad
2025-01-26T00:29:09.936891,Felicidad
2025-01-26T00:29:10.141395,Felicidad
2025-01-26T00:29:10.337417,Felicidad
2025-01-26T00:29:10.539078,Miedo
2025-01-26T00:29:10.739356,Felicidad
2025-01-26T00:29:10.938901,Neutral
2025-01-26T00:29:11.132218,Neutral
2025-01-26T00:29:11.337184,Miedo
2025-01-26T00:29:11.532929,Neutral
2025-01-26T00:29:11.740863,Neutral
2025-01-26T00:29:11.941206,Neutral
2025-01-26T00:29:12.142347,Neutral
2025-01-26T00:29:12.341377,Neutral
2025-01-26T00:29:12.535510,Neutral
2025-01-26T00:29:12.725176,Felicidad
2025-01-26T00:29:12.937106,Neutral
2025-01-26T00:29:13.132177,Neutral
2025-01-26T00:29:13.330127,Neutral
2025-01-26T00:29:13.524712,Neutral
2025-01-26T00:29:13.729246,Tristeza
2025-01-26T00:29:13.927077,Neutral
2025-01-26T00:29:14.126846,Neutral
2025-01-26T00:29:14.336794,Felicidad
2025-01-26T00:29:14.530240,Felicidad
2025-01-26T00:29:14.732203,Felicidad
2025-01-26T00:29:14.928388,Neutral
2025-01-26T00:29:15.128522,Miedo
2025-01-26T00:29:15.327243,Tristeza
2025-01-26T00:29:15.537720,Miedo
2025-01-26T00:29:15.733036,Miedo
2025-01-26T00:29:15.928528,Tristeza
2025-01-26T00:29:16.124334,Miedo
2025-01-26T00:29:16.323160,Miedo
2025-01-26T00:29:16.524390,Tristeza
2025-01-26T00:29:16.725078,Tristeza
2025-01-26T00:29:16.928230,Tristeza
2025-01-26T00:29:17.127657,Tristeza
2025-01-26T00:29:17.326652,Neutral
2025-01-26T00:29:17.537979,Neutral
2025-01-26T00:29:17.727744,Felicidad
2025-01-26T00:29:17.927680,Felicidad
2025-01-26T00:29:18.123884,Felicidad
2025-01-26T00:29:18.327496,Felicidad
2025-01-26T00:29:18.525289,Felicidad
2025-01-26T00:29:18.739119,Neutral
2025-01-26T00:29:18.938336,Neutral
2025-01-26T00:29:19.129386,Neutral
2025-01-26T00:29:19.327063,Neutral
2025-01-26T00:29:19.535539,Neutral
2025-01-26T00:29:19.732508,Neutral
2025-01-26T00:29:19.935445,Felicidad
2025-01-26T00:29:20.135850,Felicidad
2025-01-26T00:29:20.331843,Felicidad
2025-01-26T00:29:20.538475,Felicidad
2025-01-26T00:29:20.737426,Neutral
2025-01-26T00:29:20.936901,Felicidad
2025-01-26T00:29:21.125594,Neutral
2025-01-26T00:29:21.337371,Neutral
2025-01-26T00:29:21.533990,Neutral
2025-01-26T00:29:21.738174,Neutral
2025-01-26T00:29:21.928114,Neutral
2025-01-26T00:29:22.133897,Neutral
2025-01-26T00:29:22.325570,Neutral
2025-01-26T00:29:22.536529,Tristeza
2025-01-26T00:29:22.738315,Tristeza
2025-01-26T00:29:22.940766,Neutral
2025-01-26T00:29:23.139823,Neutral
2025-01-26T00:29:23.342831,Felicidad
2025-01-26T00:29:23.539029,Felicidad
2025-01-26T00:29:23.738435,Felicidad
2025-01-26T00:29:23.940445,Felicidad
2025-01-26T00:29:24.138415,Felicidad
2025-01-26T00:29:24.337445,Felicidad
2025-01-26T00:29:24.535477,Felicidad
2025-01-26T00:29:24.734929,Felicidad
2025-01-26T00:29:24.938088,Miedo
2025-01-26T00:29:25.135908,Miedo
2025-01-26T00:29:25.338325,Neutral
2025-01-26T00:29:25.529793,Neutral
