time,emotion
2025-01-26T00:37:34.345035,Neutral
2025-01-26T00:37:34.393267,Neutral
2025-01-26T00:37:34.440552,Neutral
2025-01-26T00:37:34.535396,Tristeza
2025-01-26T00:37:34.576022,Tristeza
2025-01-26T00:37:34.617209,Tristeza
2025-01-26T00:37:34.743229,Tristeza
2025-01-26T00:37:34.793838,Tristeza
2025-01-26T00:37:34.845447,Tristeza
2025-01-26T00:37:34.944038,Tristeza
2025-01-26T00:37:34.992360,Tristeza
2025-01-26T00:37:35.043425,Tristeza
2025-01-26T00:37:35.141251,Neutral
2025-01-26T00:37:35.187320,Neutral
2025-01-26T00:37:35.231899,Neutral
2025-01-26T00:37:35.338273,Tristeza
2025-01-26T00:37:35.385006,Tristeza
2025-01-26T00:37:35.425787,Tristeza
2025-01-26T00:37:35.542462,Tristeza
2025-01-26T00:37:35.589959,Tristeza
2025-01-26T00:37:35.639986,Tristeza
2025-01-26T00:37:35.738384,Neutral
2025-01-26T00:37:35.780995,Neutral
2025-01-26T00:37:35.822912,Neutral
2025-01-26T00:37:35.948430,Neutral
2025-01-26T00:37:36.002777,Neutral
2025-01-26T00:37:36.055826,Neutral
2025-01-26T00:37:36.349188,Neutral
2025-01-26T00:37:36.399322,Neutral
2025-01-26T00:37:36.449151,Neutral
2025-01-26T00:37:36.544229,Neutral
2025-01-26T00:37:36.593415,Neutral
2025-01-26T00:37:36.641490,Neutral
2025-01-26T00:37:36.942695,Neutral
2025-01-26T00:37:36.993677,Neutral
2025-01-26T00:37:37.043765,Neutral
2025-01-26T00:37:37.146134,Tristeza
2025-01-26T00:37:37.195082,Tristeza
2025-01-26T00:37:37.242381,Tristeza
2025-01-26T00:37:37.335449,Tristeza
2025-01-26T00:37:37.378135,Tristeza
2025-01-26T00:37:37.418254,Tristeza
2025-01-26T00:37:37.936847,Neutral
2025-01-26T00:37:37.977468,Neutral
2025-01-26T00:37:38.017366,Neutral
2025-01-26T00:37:38.143271,Neutral
2025-01-26T00:37:38.190659,Neutral
2025-01-26T00:37:38.236680,Neutral
